RECEITAS,UF,VALOR,DATA
TOTAL GERAL,RR,70348896,2015-05-31
TOTAL GERAL,RS,4655943003,2015-05-31
TOTAL GERAL,SC,3417909676,2015-05-31
TOTAL GERAL,SE,318768833,2015-05-31
TOTAL GERAL,SP,37018150562,2015-05-31
TOTAL GERAL,TO,134892191,2015-05-31
TOTAL GERAL,AC,86591238.80102892,2015-06-30
TOTAL GERAL,AL,273129112.4046891,2015-06-30
TOTAL GERAL,AM,975320425.8736453,2015-06-30
TOTAL GERAL,AP,70075700.80545215,2015-06-30
TOTAL GERAL,BA,1896139978.5235226,2015-06-30
TOTAL GERAL,CE,1415830254.9910643,2015-06-30
TOTAL GERAL,DF,8616408876.053026,2015-06-30
TOTAL GERAL,ES,1553191690.198514,2015-06-30
TOTAL GERAL,GO,1120589563.3839834,2015-06-30
TOTAL GERAL,MA,493977735.48537177,2015-06-30
TOTAL GERAL,MG,5277972367.405444,2015-06-30
TOTAL GERAL,MS,510088428.584026,2015-06-30
TOTAL GERAL,MT,638278030.402991,2015-06-30
TOTAL GERAL,PA,758883991.9538938,2015-06-30
TOTAL GERAL,PB,443634974.25282216,2015-06-30
TOTAL GERAL,PE,1672951662.8915758,2015-06-30
TOTAL GERAL,PI,275808058.0689645,2015-06-30
TOTAL GERAL,PR,4914634749.287619,2015-06-30
TOTAL GERAL,RJ,16486933386.289648,2015-06-30
TOTAL GERAL,RN,399638241.5461424,2015-06-30
TOTAL GERAL,RO,213985115.4087041,2015-06-30
TOTAL GERAL,RR,70108940.78331412,2015-06-30
TOTAL GERAL,RS,4766779126.669399,2015-06-30
TOTAL GERAL,SC,3575470179.355644,2015-06-30
TOTAL GERAL,SE,304695024.0845486,2015-06-30
TOTAL GERAL,SP,40139987029.94779,2015-06-30
TOTAL GERAL,TO,139592712.77717057,2015-06-30
TOTAL GERAL,AC,105892994.00556685,2015-07-31
TOTAL GERAL,AL,311907163.72339904,2015-07-31
TOTAL GERAL,AM,1083198375.9354308,2015-07-31
TOTAL GERAL,AP,77836853.22801435,2015-07-31
TOTAL GERAL,BA,2111674926.7397408,2015-07-31
TOTAL GERAL,CE,1529794043.1199763,2015-07-31
TOTAL GERAL,DF,8434743550.346998,2015-07-31
TOTAL GERAL,ES,1645310273.1235096,2015-07-31
TOTAL GERAL,GO,1423344620.8188016,2015-07-31
TOTAL GERAL,MA,637659597.2535343,2015-07-31
TOTAL GERAL,MG,5775680598.766582,2015-07-31
TOTAL GERAL,MS,543742642.6804624,2015-07-31
TOTAL GERAL,MT,712181059.9824833,2015-07-31
TOTAL GERAL,PA,897693627.2215929,2015-07-31
TOTAL GERAL,PB,483076515.436396,2015-07-31
TOTAL GERAL,PE,1873707403.358542,2015-07-31
TOTAL GERAL,PI,280691391.1168119,2015-07-31
TOTAL GERAL,PR,5154260362.263589,2015-07-31
TOTAL GERAL,RJ,20256861300.31757,2015-07-31
TOTAL GERAL,RN,454490667.13436276,2015-07-31
TOTAL GERAL,RO,245406823.29532456,2015-07-31
TOTAL GERAL,RR,80479758.02566087,2015-07-31
TOTAL GERAL,RS,5259751664.93659,2015-07-31
TOTAL GERAL,SC,4106867067.6470065,2015-07-31
TOTAL GERAL,SE,347765224.94525295,2015-07-31
TOTAL GERAL,SP,40870222222.00499,2015-07-31
TOTAL GERAL,TO,163748297.25180572,2015-07-31
TOTAL GERAL,AC,91208166.1506696,2015-08-31
TOTAL GERAL,AL,303861808.403806,2015-08-31
TOTAL GERAL,AM,986718851.4652926,2015-08-31
TOTAL GERAL,AP,75419569.81572866,2015-08-31
TOTAL GERAL,BA,1897198216.6694198,2015-08-31
TOTAL GERAL,CE,1385882868.1352382,2015-08-31
TOTAL GERAL,DF,7678509275.330974,2015-08-31
TOTAL GERAL,ES,1520585061.1906145,2015-08-31
TOTAL GERAL,GO,1107268470.0782416,2015-08-31
TOTAL GERAL,MA,566977566.5757008,2015-08-31
TOTAL GERAL,MG,5160475843.009692,2015-08-31
TOTAL GERAL,MS,496177307.4264339,2015-08-31
TOTAL GERAL,MT,632461179.9494276,2015-08-31
TOTAL GERAL,PA,740200551.96788,2015-08-31
TOTAL GERAL,PB,429819368.3612716,2015-08-31
TOTAL GERAL,PE,1627870811.9363737,2015-08-31
TOTAL GERAL,PI,259513285.31431434,2015-08-31
TOTAL GERAL,PR,4650088843.807772,2015-08-31
TOTAL GERAL,RJ,16978506539.156345,2015-08-31
TOTAL GERAL,RN,396431493.9145059,2015-08-31
TOTAL GERAL,RO,208355340.07058808,2015-08-31
TOTAL GERAL,RR,71208710.35184279,2015-08-31
TOTAL GERAL,RS,4711133298.974487,2015-08-31
TOTAL GERAL,SC,3623237329.534615,2015-08-31
TOTAL GERAL,SE,312298484.15249413,2015-08-31
TOTAL GERAL,SP,37686435335.98114,2015-08-31
TOTAL GERAL,TO,140425482.27513757,2015-08-31
TOTAL GERAL,AC,90638219.41561787,2015-09-30
TOTAL GERAL,AL,272543251.8995232,2015-09-30
TOTAL GERAL,AM,1012274992.1241806,2015-09-30
TOTAL GERAL,AP,70212739.36232604,2015-09-30
TOTAL GERAL,BA,1920004469.701609,2015-09-30
TOTAL GERAL,CE,1405272519.2745614,2015-09-30
TOTAL GERAL,DF,8198225695.869118,2015-09-30
TOTAL GERAL,ES,1583627459.5395007,2015-09-30
TOTAL GERAL,GO,1245067334.8866346,2015-09-30
TOTAL GERAL,MA,580595721.0324916,2015-09-30
TOTAL GERAL,MG,5405865174.002079,2015-09-30
TOTAL GERAL,MS,610042764.8174444,2015-09-30
TOTAL GERAL,MT,736731370.9591475,2015-09-30
TOTAL GERAL,PA,793864522.2350018,2015-09-30
TOTAL GERAL,PB,443015822.26014835,2015-09-30
TOTAL GERAL,PE,1733553205.8665724,2015-09-30
TOTAL GERAL,PI,263715744.99095276,2015-09-30
TOTAL GERAL,PR,4971291618.062755,2015-09-30
TOTAL GERAL,RJ,15785152693.205496,2015-09-30
TOTAL GERAL,RN,415085467.4220107,2015-09-30
TOTAL GERAL,RO,218311188.30148074,2015-09-30
TOTAL GERAL,RR,69566117.93362056,2015-09-30
TOTAL GERAL,RS,4770890389.266742,2015-09-30
TOTAL GERAL,SC,3848950629.38328,2015-09-30
TOTAL GERAL,SE,294750290.99482125,2015-09-30
TOTAL GERAL,SP,38350087729.46539,2015-09-30
TOTAL GERAL,TO,149950134.16748723,2015-09-30
TOTAL GERAL,AC,107727979.86103387,2015-10-31
TOTAL GERAL,AL,293256398.7807393,2015-10-31
TOTAL GERAL,AM,1111566930.4743493,2015-10-31
TOTAL GERAL,AP,77932948.1640436,2015-10-31
TOTAL GERAL,BA,2151352181.2109866,2015-10-31
TOTAL GERAL,CE,1474602678.6819804,2015-10-31
TOTAL GERAL,DF,8156364956.686938,2015-10-31
TOTAL GERAL,ES,1630130097.5428996,2015-10-31
TOTAL GERAL,GO,1307280896.7882407,2015-10-31
TOTAL GERAL,MA,559658241.2271831,2015-10-31
TOTAL GERAL,MG,5907206687.755919,2015-10-31
TOTAL GERAL,MS,606382350.4145688,2015-10-31
TOTAL GERAL,MT,763161696.3671602,2015-10-31
TOTAL GERAL,PA,841918212.0994465,2015-10-31
TOTAL GERAL,PB,488685080.59078187,2015-10-31
TOTAL GERAL,PE,1965630261.9271457,2015-10-31
TOTAL GERAL,PI,304541419.3174081,2015-10-31
TOTAL GERAL,PR,5301429610.28057,2015-10-31
TOTAL GERAL,RJ,18648962105.69675,2015-10-31
TOTAL GERAL,RN,441169064.4745673,2015-10-31
TOTAL GERAL,RO,253103175.1052557,2015-10-31
TOTAL GERAL,RR,82317976.44612087,2015-10-31
TOTAL GERAL,RS,5368527984.23358,2015-10-31
TOTAL GERAL,SC,3992281251.430085,2015-10-31
TOTAL GERAL,SE,330014682.9448271,2015-10-31
TOTAL GERAL,SP,41205869325.74482,2015-10-31
TOTAL GERAL,TO,158987618.9025981,2015-10-31
TOTAL GERAL,AC,97544152.99449044,2015-11-30
TOTAL GERAL,AL,299891579.99981683,2015-11-30
TOTAL GERAL,AM,1052046812.0286285,2015-11-30
TOTAL GERAL,AP,80614120.58549142,2015-11-30
TOTAL GERAL,BA,1996196177.0523212,2015-11-30
TOTAL GERAL,CE,1387138389.0741055,2015-11-30
TOTAL GERAL,DF,9895647946.981146,2015-11-30
TOTAL GERAL,ES,1492027712.555786,2015-11-30
TOTAL GERAL,GO,1184471088.9910955,2015-11-30
TOTAL GERAL,MA,476059625.9503663,2015-11-30
TOTAL GERAL,MG,5346949628.992338,2015-11-30
TOTAL GERAL,MS,585391380.8272934,2015-11-30
TOTAL GERAL,MT,696498543.0614377,2015-11-30
TOTAL GERAL,PA,822797586.0501117,2015-11-30
TOTAL GERAL,PB,480676973.4994922,2015-11-30
TOTAL GERAL,PE,1735709367.4088519,2015-11-30
TOTAL GERAL,PI,273159551.2474048,2015-11-30
TOTAL GERAL,PR,4320236457.960316,2015-11-30
TOTAL GERAL,RJ,15570057832.421598,2015-11-30
TOTAL GERAL,RN,429676616.00557214,2015-11-30
TOTAL GERAL,RO,227077534.09774703,2015-11-30
TOTAL GERAL,RR,86318939.39036414,2015-11-30
TOTAL GERAL,RS,4752937555.216799,2015-11-30
TOTAL GERAL,SC,3737210814.9307423,2015-11-30
TOTAL GERAL,SE,305285710.9857801,2015-11-30
TOTAL GERAL,SP,37982134430.77644,2015-11-30
TOTAL GERAL,TO,147400521.69446254,2015-11-30
TOTAL GERAL,AC,109019137.49731898,2015-12-31
